"row_no","rep_id_hex","group_key","over_by_bytes","span_bytes","needed_bytes","ja_preview","kr_preview"
"178","","はぁ…はぁ…！ マ、マロはもう、限界でおじゃるよ……","3","77","80","はぁ…はぁ…！\nマ、マロはもう、限界でおじゃるよ……","하아… 하아…!\n마, 마로는 이제… 한계사옵니다……"
"199","","まさかコレを倒したら、 もっと分裂しないだろうな？","3","74","77","まさかコレを倒したら、\nもっと分裂しないだろうな？","설마 이걸 쓰러뜨리면,\n더 분열하는 건 아니겠지?"
"227","","あーわかったわかった、あんまり堅苦しく考えるな。","3","73","76","あーわかったわかった、あんまり堅苦しく考えるな。","아~ 알았다 알았어, 너무 딱딱하게 생각하지 마."
"274","","クククッ…… 面白い……もっと楽しませろ！！","3","65","68","クククッ……\n面白い……もっと楽しませろ！！","크크크……\n재밌군…… 더 즐겁게 해 봐라!!"
"283","","か弱いかどうか、 今から見せてあげるかな！","3","62","65","か弱いかどうか、\n今から見せてあげるかな！","내가 약한지 아닌지,\n지금부터 보여 줄게!"
"292","","いい女は戦もひと味違うものだ。 いくぞ！","3","59","62","いい女は戦もひと味違うものだ。\nいくぞ！","좋은 여자의 싸움은 한맛 다르지.\n간다!"
"343","","了解した。 いい女には容易いことだ。","3","53","56","了解した。\nいい女には容易いことだ。","알겠다.\n좋은 여자에겐 쉬운 일이지."
"356","","旦那 これ終わったら呑みに行くかい？","3","53","56","旦那\nこれ終わったら呑みに行くかい？","주인장,\n이거 끝나면 한잔하러 갈래?"
"407","","キウル……！ しっかりするです！","3","47","50","キウル……！\nしっかりするです！","키우루……!\n정신 차리는 거예요!"
"505","","頼むから静かにしてくれ……","3","40","43","頼むから静かにしてくれ……","제발 조용히 좀 해 줘……"
"551","","私は大丈夫なのです。","3","31","34","私は大丈夫なのです。","""나는 괜찮은 거예요."""
"564","","主様をお守りする。","3","28","31","主様をお守りする。","""주인님을 지키겠다."""
"574","","イヤなんだ……？","3","25","28","イヤなんだ……？","""싫단 말이야……?"""
"596","","あ、ああ……","3","19","22","あ、ああ……","""아, 아아……"""
"616","","可憐だ……","3","16","19","可憐だ……","가련하군……"
"658","","哈克，小心！看前面！","3","31","34","哈克，小心！看前面！","하쿠, 조심해! 앞이야!"
"673","","很、很抱歉……！！","3","28","31","很、很抱歉……！！","죄, 죄송합니다……!!"
"698","","人家討厭這樣……","3","25","28","人家討厭這樣……","이런 건 싫어……"
"747","","可是……","3","13","16","可是……","하지만……"
"11","","山賊とばったり出くわすとか…… まったく……どうしてこうなった？","2","95","97","山賊とばったり出くわすとか……\nまったく……どうしてこうなった？","산적이랑 딱 마주치다니……\n정말…… 어쩌다 이렇게 된 거지?"
"39","","早くそいつらを殺せ！ でないとどうなるか、わかってるだろうな！！","2","95","97","早くそいつらを殺せ！\nでないとどうなるか、わかってるだろうな！！","어서 저놈들을 죽여라!\n안 그러면 어떻게 될지, 알고 있겠지!!"
"44","","（この者の目…… 既に決死の覚悟の上、 この戦いに臨んでいる……）","2","102","104","（この者の目……\n　既に決死の覚悟の上、\n　この戦いに臨んでいる……）","(이 자의 눈……\n이미 결사의 각오로,\n이 싸움에 임하고 있다……)"
"45","","ならば応えねばなるまい…… 某の全身全霊をもって、お相手致す……！","2","98","100","ならば応えねばなるまい……\n某の全身全霊をもって、お相手致す……！","그렇다면 응해야겠지……\n나의 전신전령을 다해 상대해 주마……!"
"82","","あ、あれ？ クオンさん……なんか、目が怖くないです…か……？","2","89","91","あ、あれ？\nクオンさん……なんか、目が怖くないです…か……？","어, 어라?\n쿠온 씨…… 뭔가, 눈빛이 무섭지 않…나요……?"
"164","","もう、何が起こるかわからん…… みんな、注意してくれ！","2","80","82","もう、何が起こるかわからん……\nみんな、注意してくれ！","이젠 무슨 일이 벌어질지 모르겠어……\n다들 조심해!"
"198","","アトゥイのやつ、 完全に変なスイッチが入ったな……","2","74","76","アトゥイのやつ、\n完全に変なスイッチが入ったな……","아투이 녀석,\n완전히 이상한 스위치가 켜졌네……"
"200","","はぁ……はぁ…… 早くここから脱出しなくては……！","2","74","76","はぁ……はぁ……\n早くここから脱出しなくては……！","하아…… 하아……\n어서 여기서 탈출해야 해……!"
"204","","みんな、奴に仮面の力を使わせる隙を与えないでくれ。","2","76","78","みんな、奴に仮面の力を使わせる隙を与えないでくれ。","다들, 놈이 가면의 힘을 쓰게 둘 틈을 주지 마!"
"206","","（そうは言ったが、 本当にどうする……この状況？）","2","77","79","（そうは言ったが、\n　本当にどうする……この状況？）","(그렇게 말하긴 했지만,\n진짜 어쩌지…… 이 상황?)"
"223","","陰気くさい連中やぇ…… もっと明るくやれんのけ？","2","71","73","陰気くさい連中やぇ……\nもっと明るくやれんのけ？","음침한 녀석들이네……\n좀 더 밝게 못 하겠나?"
"233","","えーと…… 本当にこのまま続けていいんですか？","2","68","70","えーと……\n本当にこのまま続けていいんですか？","저기……\n정말 이대로 계속해도 되는 건가요?"
"238","","屍体に命を狙われるとは…… 誰の差し金なんだ？","2","68","70","屍体に命を狙われるとは……\n誰の差し金なんだ？","시체에게 목숨을 노림받다니……\n누구 짓이지?"
"264","","姫殿下を…… なんとしてでもお助けするです！","2","65","67","姫殿下を……\nなんとしてでもお助けするです！","공주 전하를……\n어떻게든 구해내는 거예요!"
"277","","おみゃあら！ さっさとその像を返すにゃも！","2","64","66","おみゃあら！　さっさとその像を返すにゃも！","너희들! 어서 그 조각상 돌려주는거다냐모!"
"290","","来たぞ！！ このまま全力で逃げ切るぞ！！","2","59","61","来たぞ！！\nこのまま全力で逃げ切るぞ！！","온다!!\n이대로 전력으로 도망쳐 버티자!!"
"301","","オウギよ、こいつ等と我々は同業種なのか？","2","61","63","オウギよ、こいつ等と我々は同業種なのか？","오우기, 저놈들과 우리는 같은 부류인가?"
"395","","姉上、一旦ここは僕が援護をします。","2","52","54","姉上、一旦ここは僕が援護をします。","언니, 일단은 제가 지원하겠습니다."
"408","","ハハハ、そうムキになりなさんな。","2","49","51","ハハハ、そうムキになりなさんな。","하하하, 그렇게 발끈하지 마시지."
"412","","何が何だか…… さっぱりだ……！","2","47","49","何が何だか……\nさっぱりだ……！","뭐가 뭔지……\n영 모르겠어……!"
"432","","ひぃぃぃっ！！ 禍日神ィッ！！","2","44","46","ひぃぃぃっ！！\n禍日神ィッ！！","히이이이!!\n재앙의 태양신이잇!!"
"451","","う……まぁ、そこそこ頑張るか。","2","46","48","う……まぁ、そこそこ頑張るか。","으…… 뭐, 적당히는 해 볼까."
"473","","マサカ、オシュトル…… 汝ハ","2","50","52","マサカ、オシュトル……\n汝ハ","설마, 오슈토르……\n그대는 {{L000}}"
"489","","ぐはっ！ つ、強い……！！","2","38","40","ぐはっ！\nつ、強い……！！","크헉!\n무, 무지 강해……!!"
"513","","ココポ～、試しにどうぇ？","2","37","39","ココポ～、試しにどうぇ？","코코포~ 시험 삼아 어때?"
"555","","嗚嗚……","2","13","15","嗚嗚……","""아아……"""
"555","","嗚嗚……","2","13","15","嗚嗚……","""아아……"""
"555","","嗚嗚……","2","13","15","嗚嗚……","""아아……"""
"556","","同感でおじゃる……","2","28","30","同感でおじゃる……","""나도 동감이야……"""
"560","","うぅ……お腹が……","2","28","30","うぅ……お腹が……","""으으…… 배가……"""
"565","","わー！わー！わー！","2","28","30","わー！わー！わー！","""와ー! 와ー! 와ー!"""
"568","","フルフルフル……","2","25","27","フルフルフル……","""부들부들부들……"""
"665","","貓音，妳有在努力嗎？","2","31","33","貓音，妳有在努力嗎？","네코네, 잘하고 있지?"
"700","","好，就交給我吧！","2","25","27","好，就交給我吧！","좋아, 맡기면 돼!"
"13","","しかし、ルルティエがあんなに大きな声を出すなんて…… 珍しいな……","1","98","99","しかし、ルルティエがあんなに大きな声を出すなんて……\n珍しいな……","그런데 루루티에가 저렇게 큰소리를 내다니……\n드문 일이네……"
"56","","今回の目的は物資を奪うことだ。 早く目的を果たして、ずらかるぞ！","1","95","96","今回の目的は物資を奪うことだ。\n早く目的を果たして、ずらかるぞ！","이번 목적은 물자를 빼앗는 거다.\n빨리 목적을 이루고, 튀자!"
"127","","フッ…… この力…出来ればお相手したくないものですが…… 参ります！！","1","102","103","フッ……\nこの力…出来ればお相手したくないものですが……\n参ります！！","후……\n이 힘… 가능하다면 상대하고 싶지 않지만……\n가겠습니다!!"
"179","","心配ありません、ハクさま。 私にはこの子がいます…！","1","77","78","心配ありません、ハクさま。\n私にはこの子がいます…！","걱정 마세요, 하쿠 님.\n제겐 이 아이가 있어요…!"
"304","","なんで自分がこんな事しなきゃならんのだ？","1","61","62","なんで自分がこんな事しなきゃならんのだ？","내가 왜 이런 짓까지 해야 하는 거지?"
"330","","はは…… 手を抜くと叱られそうだな……","1","56","57","はは……\n手を抜くと叱られそうだな……","하하……\n대충 했다간 혼나겠는걸……"
"335","","はい！ 兄上！ 日々精進しております！","1","56","57","はい！　兄上！\n日々精進しております！","네! 형님!\n날마다 정진하고 있습니다!"
"416","","無事に姫さんを取り戻した後でな！","1","49","50","無事に姫さんを取り戻した後でな！","공주님을 무사히 되찾고 나서야!"
"430","","どうしたッ！ まだ足りんぞっ！！","1","47","48","どうしたッ！\nまだ足りんぞっ！！","어찌 된 거냐!\n아직 모자라다!!"
"452","","いい女は、期待にこたえねばな！","1","46","47","いい女は、期待にこたえねばな！","좋은 여자는 기대에 답해야지!"
"477","","ここは私たちにお任せ下さい。","1","43","44","ここは私たちにお任せ下さい。","여긴 저희에게 맡겨 주세요."
"482","","いや、自分に聞かれても……","1","40","41","いや、自分に聞かれても……","아니, 나한테 물어봐도……"
"532","","ハクさま……大丈夫です","1","34","35","ハクさま……大丈夫です","하쿠 님…… 괜찮아요."
"542","","二人とも、大丈夫か？","1","31","32","二人とも、大丈夫か？","너희 둘 다 괜찮아?"
"563","","グ……ヌゥゥゥ！！","1","28","29","グ……ヌゥゥゥ！！","""그…… 누우우우!!"""
"576","","あぁ、すまんな。","1","25","26","あぁ、すまんな。","""아아, 미안하군."""
"619","","笑止ッ！","1","13","14","笑止ッ！","가소롭다!"
"649","","再繼續拖下去非常不妙！","1","34","35","再繼續拖下去非常不妙！","더 끌면 정말 위험해!"
"651","","這條路…… 難道……","1","29","30","這條路……\n難道……","이 길……\n설마……"
"681","","倒下吧！ 武賴！！","1","26","27","倒下吧！\n武賴！！","쓰러져라!\n브라이!!"
"702","","奇羽琉……加油！","1","25","26","奇羽琉……加油！","키우루…… 힘내!"
"703","","嘎哦哦哦哦哦！","1","22","23","嘎哦哦哦哦哦！","가아오오오오오!"
"705","","似乎是這樣呢。","1","22","23","似乎是這樣呢。","그런 것 같네."
"719","","我們不會放水。","1","22","23","我們不會放水。","봐주지 않는다."
"730","","吼喔喔喔喔！","1","19","20","吼喔喔喔喔！","우오오오오오!"
"735","","啊？嗯……","1","16","17","啊？嗯……","어? 응……"
"759","","好的。","1","10","11","好的。","알겠어."
